Abbriviation;Phylum;Class;Order;Family;Genus;Species;FeedingGuild;SpecificFeeding;Development
Pha;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Phyllotreta;atra;Herbivore;Chewing;adult
Phu;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Phyllotreta;undulata;Herbivore;Chewing;adult
Pr_coc_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;rapae;Herbivore;Chewing;Cocoon
Pr_cat_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;rapae;Herbivore;Chewing;Larva
Pr_egg_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;rapae;Herbivore;Chewing;Egg
Pb_cat_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;brassicae;Herbivore;Chewing;Larva
Pb_coc_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;brassicae;Herbivore;Chewing;Cocoon
Pb_egg_;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;brassicae;Herbivore;Chewing;Egg
Ls_cat_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Lacanobia;suasa;Herbivore;Chewing;Larva
Col;Arthropoda;Entognatha ;Collembola;;;;Detritivore;;
Wev;Arthropoda;Insecta;Coleoptera;Curculionoidea;;;Herbivore;Chewing;
Mp;Arthropoda;Insecta;Hemiptera;Aphididae;Myzus;Persicae;Herbivore;Sucking;
Spi;Arthropoda;Arachnida;;;;;Carnivore;;
Thr;Arthropoda;Insecta;Thysanoptera;;;;Herbivore;Chewing;
Plx;Arthropoda;Insecta;Lepidoptera;Plutellidae;Plutella;xylostella;Herbivore;Chewing;adult
Plx_cat_;Arthropoda;Insecta;Lepidoptera;Plutellidae;Plutella;xylostella;Herbivore;Chewing;Larva
Plx_egg_;Arthropoda;Insecta;Lepidoptera;Plutellidae;Plutella;xylostella;Herbivore;Chewing;Egg
Plx_coc_;Arthropoda;Insecta;Lepidoptera;Plutellidae;Plutella;xylostella;Herbivore;Chewing;Cocoon
Coc_lar_;Arthropoda;Insecta;Coleoptera;Coccinellidae;;;Carnivore;;Larva
Coc_egg_;Arthropoda;Insecta;Coleoptera;Coccinellidae;;;Carnivore;;Egg
Coc;Arthropoda;Insecta;Coleoptera;Coccinellidae;;;Carnivore;;adult
Af;Arthropoda;Insecta;Hemiptera;Aphididae;Aphis;fabae;Herbivore;Sucking;
Bb;Arthropoda;Insecta;Hemiptera;Aphididae;Brevicoryne;brassicae;Herbivore;Sucking;
Het;Arthropoda;Insecta;Hemiptera;Heteroptera;;;Herbivore;Sucking;
Mb_egg_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Mamestra;brassicae;Herbivore;Chewing;Egg
Mb_cat_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Mamestra;brassicae;Herbivore;Chewing;Larva
C_rub;Arthropoda;Insecta;Hymenoptera;Braconidae;Cotesia;rubecula;Parasitoid;;Cocoon
C_glo;Arthropoda;Insecta;Hymenoptera;Braconidae;Cotesia;glomerata;Parasitoid;;Cocoon
Rb;Arthropoda;Insecta;Coleoptera;Staphylinidae;;;Carnivore;;
Paras;Arthropoda;Insecta;Hymenoptera;;;;Parasitoid;;
Bem;Arthropoda;Insecta;Hemiptera;Aleyrodidae;;;Herbivore;Sucking;
Bem_instar_;Arthropoda;Insecta;Hemiptera;Aleyrodidae;;;Herbivore;Sucking;Larva
Bem_egg_;Arthropoda;Insecta;Hemiptera;Aleyrodidae;;;Herbivore;Sucking;Egg
Fly;Arthropoda;Insecta;Diptera;;;;Omnivore;;
Oi;Arthropoda;Insecta;Hemiptera;Anthocoridae;Orius;insidiosus;Carnivore;;
Lw_egg_;Arthropoda;Insecta;Neuroptera;Chrysopidae;;;Carnivore;;Egg
Lw_larv_;Arthropoda;Insecta;Neuroptera;Chrysopidae;;;Carnivore;;Larva
Lw;Arthropoda;Insecta;Neuroptera;Chrysopidae;;;Carnivore;;adult
Tor_larv_;Arthropoda;Insecta;Coleoptera;Chrysomelidae;;;Herbivore;Chewing;Larva
Mum;Arthropoda;Insecta;Hemiptera;Aphididae;;;Herbivore;Sucking;Parasitised
Hov_lar_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Larva
Hov_coc_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Cocoon
Hov_egg_;Arthropoda;Insecta;Diptera;Syrphidae;;;Carnivore;;Egg
Ag_cat_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;gamma;Herbivore;Chewing;Larva
Ag_coc_;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;gamma;Herbivore;Chewing;Cocoon
c_bug;Arthropoda;Insecta;Hemiptera;Pentatomidae;Eurydema;oleracea;Herbivore;Sucking;
Ef_v_cat_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;forfocalis;Herbivore;Chewing;Larva
Ef_v_egg_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;forfocalis;Herbivore;Chewing;Egg
Mm;Arthropoda;Insecta;Hymenoptera;Braconidae;Microplitis;mediator;Parasitoid;;
Gm;Arthropoda;Insecta;Diptera;Cecidomyiidae;;;Gall herbivore;;
Ev_X_cat_;Arthropoda;Insecta;Lepidoptera;Crambidae;Evergestis;extimalis;Herbivore;Chewing;Larva
Un_e;Arthropoda;Insecta;;;;;Unidentified;;Egg
Un_e_paras_;Arthropoda;Insecta;;;;;Unidentified;;Parasitised
Un_cat;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Larva
Un_cat_paras_;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Parasitised
Un_coc;Arthropoda;Insecta;Lepidoptera;;;;Herbivore;Chewing;Cocoon
Col_sp;Arthropoda;Insecta;Coleoptera;;;;Unidentified;;
Car;Arthropoda;Insecta;Coleoptera;Carabidae;;;Carnivore;;
Cic;Arthropoda;Insecta;Hemiptera;Cicadoidea;;;Herbivore;Sucking;
Ful;Arthropoda;Insecta;Hemiptera;Fulgoroidea;;;Herbivore;Sucking;
